Id,Title,CategoryId
409,جوراب,150
410,جوراب شلواری,150
412,بادی,141
413,شلوار,19
414,لباس ورزشی,19
419,لباس راحتی,156
420,شلوار,157
421,سرهمی,157
422,ژاکت,158
423,پلیور,158
424,کاپشن,159
425,پالتو,159
426,بارانی,159
427,جلیقه,159
428,بلوز,160
431,شلوارک,161
432,شورتک,161
435,لگینگ و ساپورت ورزشی,163
436,کاور ورزشی,163
437,گرمکن,163
438,ست لباس ورزشی,163
440,سویشرت,164
441,هودی,164
442,تیشرت,165
443,پولوشرت,165
444,تاپ,165
445,کیف,178
446,کیف پول,178
447,کوله پشتی,178
448,چمدان,178
452,گردنبند,183
453,دستبند,183
454,انگشتر,183
457,ست زیورآلات,183
458,کمربند,86
459,ساسبند,86
460,کراوات و پاپیون,18
461,کراوات,460
462,پاپیون,460
464,کیف,21
465,عینک,21
467,دستکش,21
470,کلاه,21
472,ساعت,21
484,لباس مجلسی,7
485,کت,484
486,پیراهن,484
488,"مانتو، پانچو و شنل",7
489,مانتو,488
490,پانچو,488
491,شنل,488
492,چادر و مقنعه,7
493,چادر,492
494,مقنعه,492
495,توربان,492
496,پیراهن بارداری,31
497,مانتو بارداری,31
498,لباس زیر بارداری,31
499,تونیک,33
500,پافر,32
501,سارافون و وست,7
502,سارافون,501
503,وست,501
504,دامن,7
505,لگینگ ورزشی,36
507,لباس شنا,36
509,بادی,39
510,"جوراب، ساپورت و ساق",7
511,جوراب,510
512,جوراب شلواری,510
513,ساق شلواری,510
514,ساپورت,510
515,کتونی,8
516,کفش,8
517,بوت,8
518,چکمه,8
519,دمپایی,8
520,صندل,8
521,تل سر,56
522,مینی اسکارف,57
523,کت شلوار,10
524,کت و شلوار,523
525,کت,523
526,لباس شنا,68
527,ربدوشامبر,74
528,کتونی,11
529,کفش,11
530,صندل,11
531,"تاپ، نیم تنه و بادی",13
532,تاپ,531
533,نیم تنه,531
534,بادی,531
535,لباس شنا,99
536,دامن,13
537,کتونی,14
538,کفش,14
539,بوت و نیم بوت,14
540,صندل,14
541,تل سر,113
542,لباس شنا,123
543,کت شلوار,16
544,کت و شلوار,16
545,کت تک,16
546,کتونی,17
547,کفش,17
